"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 19:24:16 GMT 2024","Tue Oct 22 19:24:17 GMT 2024","1620","","MarkupTestSuite","","","","TestUsecaseAddMarkUp",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","AuthServiceSuite","","","","Auth",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","DocumentRepoSuite","","","","AddReport",""
"passed","Tue Oct 22 19:24:07 GMT 2024","Tue Oct 22 19:24:11 GMT 2024","3233","","ITAuthTestSuite","","","","TestUsecaseSignUp",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","0","","AnnotattionServiceSuite","","","","DeleteAnotattion",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","AuthServiceSuite","","","","SignIn",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionTypeClassic",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","0","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AnnotattionServiceSuite","","","","GetAnottationByUserID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","AddDocument",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 19:24:19 GMT 2024","Tue Oct 22 19:24:21 GMT 2024","1636","","MarkupTestSuite","","","","TestUsecaseGetMarkUp",""
"passed","Tue Oct 22 19:24:17 GMT 2024","Tue Oct 22 19:24:19 GMT 2024","1630","","MarkupTestSuite","","","","TestUsecaseDeleteMarkUp",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionType",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","AddAnottationType",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","GetAllAnotattionTypesClassic",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","AnnotattionServiceSuite","","","","GetAnottationByID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AuthServiceSuite","","","","Auth",""
"passed","Tue Oct 22 19:24:34 GMT 2024","Tue Oct 22 19:24:38 GMT 2024","3735","","E2ESuite","","","","Test_E2ELoadingDocument",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnnotationTypeByID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","GetDocumentsByCreatorID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","AuthServiceSuite","","","","SignIn",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","6","","AnnotattionServiceSuite","","","","DeleteAnotattionClassic",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","0","","DocumentServiceSuite","","","","LoadDocument",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","AnnotattionServiceSuite","","","","areBBsValid",""
"passed","Tue Oct 22 19:24:12 GMT 2024","Tue Oct 22 19:24:14 GMT 2024","1661","","MarkupTypeTestSuite","","","","TestUsecaseAddMarkUpType",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","5","","AnnotattionServiceSuite","","","","AddAnnotationClassic",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","UserRepoSuite","","","","Create user with error",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","UserRepoSuite","","","","Get user by ID with error",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","GetAnottationTypesByIDs",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","Get all annotation types with err",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","DeleteDocumentByID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByIDClassic",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","AddAnotattionTypeClassic",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","AnnotattionTypeServiceSuite","","","","GetAnottationTypesByUserID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","0","","DocumentServiceSuite","","","","GetDocumentsByCreatorID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","0","","DocumentRepoSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","DeleteAnotattionType",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","1","","UserRepoSuite","","","","UpdateUserByLogin",""
"passed","Tue Oct 22 19:23:55 GMT 2024","Tue Oct 22 19:24:07 GMT 2024","12932","","ITAuthTestSuite","","","","TestUsecaseSignIn",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","2","","AnnotattionServiceSuite","","","","CheckPngFile",""
"passed","Tue Oct 22 19:23:47 GMT 2024","Tue Oct 22 19:23:47 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnottationsByUserID",""
"passed","Tue Oct 22 19:24:14 GMT 2024","Tue Oct 22 19:24:16 GMT 2024","1632","","MarkupTypeTestSuite","","","","TestUsecaseDeleteMarkUpType",""
