"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 20:20:29 GMT 2024","Tue Oct 22 20:20:30 GMT 2024","1635","","MarkupTypeTestSuite","","","","TestUsecaseAddMarkUpType",""
"passed","Tue Oct 22 20:20:37 GMT 2024","Tue Oct 22 20:20:39 GMT 2024","1654","","MarkupTestSuite","","","","TestUsecaseGetMarkUp",""
"passed","Tue Oct 22 20:20:53 GMT 2024","Tue Oct 22 20:20:56 GMT 2024","3617","","E2ESuite","","","","Test_E2ELoadingDocument",""
"passed","Tue Oct 22 20:20:14 GMT 2024","Tue Oct 22 20:20:26 GMT 2024","11442","","ITAuthTestSuite","","","","TestUsecaseSignIn",""
"passed","Tue Oct 22 20:20:26 GMT 2024","Tue Oct 22 20:20:29 GMT 2024","3140","","ITAuthTestSuite","","","","TestUsecaseSignUp",""
"passed","Tue Oct 22 20:20:34 GMT 2024","Tue Oct 22 20:20:35 GMT 2024","1638","","MarkupTestSuite","","","","TestUsecaseAddMarkUp",""
"passed","Tue Oct 22 20:20:30 GMT 2024","Tue Oct 22 20:20:32 GMT 2024","1613","","MarkupTypeTestSuite","","","","TestUsecaseDeleteMarkUpType",""
"passed","Tue Oct 22 20:20:35 GMT 2024","Tue Oct 22 20:20:37 GMT 2024","1598","","MarkupTestSuite","","","","TestUsecaseDeleteMarkUp",""
"passed","Tue Oct 22 20:20:32 GMT 2024","Tue Oct 22 20:20:34 GMT 2024","1606","","MarkupTypeTestSuite","","","","TestUsecaseGetMarkUpType",""
