"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","5","","AnnotattionServiceSuite","","","","GetAllAnotattions",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","AuthServiceSuite","","","","Auth",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","0","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionType",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","0","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByID",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAllAnotattionTypesClassic",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","AuthServiceSuite","","","","Auth",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","4","","AnnotattionServiceSuite","","","","DeleteAnotattionClassic",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","GetAnottationsByUserID",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","0","","MarkupTypeTestSuite","","","","TestUsecaseGetMarkUpType",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","0","","MarkupTestSuite","","","","TestUsecaseGetMarkUp",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","UserRepoSuite","","","","UpdateUserByLogin",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","DeleteDocumentByID",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","AddAnotattionTypeClassic",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotattionServiceSuite","","","","AddAnnotation",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","0","","DocumentServiceSuite","","","","LoadDocument",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","GetAnottationTypesByUserID",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","UserRepoSuite","","","","Get user by ID with error",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","AddDocument",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","UserRepoSuite","","","","GetAllUsers",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","UserRepoSuite","","","","Create user with error",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","AuthServiceSuite","","","","SignIn",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","AuthServiceSuite","","","","SignIn",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByIDClassic",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnnotationTypeByID",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","0","","ITAuthTestSuite","","","","TestUsecaseSignUp",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","DocumentRepoSuite","","","","DeleteReportByID",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","0","","ITAuthTestSuite","","","","TestUsecaseSignIn",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","AnnotattionServiceSuite","","","","CheckPngFile",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","AnnotattionServiceSuite","","","","GetAnottationByID",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","4","","DocumentServiceSuite","","","","LoadDocument",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","1","","MarkupTypeTestSuite","","","","TestUsecaseAddMarkUpType",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","0","","DocumentServiceSuite","","","","GetDocumentByID",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","0","","MarkupTypeTestSuite","","","","TestUsecaseDeleteMarkUpType",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","0","","MarkupTestSuite","","","","TestUsecaseAddMarkUp",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotattionServiceSuite","","","","GetAnottationByUserID",""
"skipped","Tue Oct 22 20:39:34 GMT 2024","Tue Oct 22 20:39:34 GMT 2024","0","","MarkupTestSuite","","","","TestUsecaseDeleteMarkUp",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","4","","AnnotattionServiceSuite","","","","GetAnottationByIDClassic",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","AnnotattionServiceSuite","","","","areBBsValid",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionTypeClassic",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","DeleteAnotattionType",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","AddAnottationType",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","GetDocumentsByCreatorID",""
"passed","Tue Oct 22 20:39:27 GMT 2024","Tue Oct 22 20:39:27 GMT 2024","1","","AnnotattionTypeServiceSuite","","","","AddAnotattionType",""
