"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","GetAnottationTypesByUserID",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Sat Oct 19 07:30:32 GMT 2024","Sat Oct 19 07:30:33 GMT 2024","1449","","MarkupTestSuite","","","","TestUsecaseDeleteMarkUp",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","0","","AnnotattionTypeServiceSuite","","","","AddAnotattionType",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","GetAnottationsByUserID",""
"passed","Sat Oct 19 07:30:30 GMT 2024","Sat Oct 19 07:30:32 GMT 2024","1431","","MarkupTestSuite","","","","TestUsecaseAddMarkUp",""
"passed","Sat Oct 19 07:30:47 GMT 2024","Sat Oct 19 07:30:51 GMT 2024","3643","","E2ESuite","","","","Test_E2ELoadingDocument",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","DeleteDocumentByID",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","4","","AnnotattionServiceSuite","","","","DeleteAnotattionClassic",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","AddDocument",""
"passed","Sat Oct 19 07:30:21 GMT 2024","Sat Oct 19 07:30:25 GMT 2024","3232","","ITAuthTestSuite","","","","TestUsecaseSignUp",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","1","","UserRepoSuite","","","","Get user by ID with error",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","GetDocumentsByCreatorID",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","3","","AnnotattionServiceSuite","","","","CheckPngFile",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","0","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","4","","AnnotattionServiceSuite","","","","AddAnnotationClassic",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentsByCreatorID",""
"passed","Sat Oct 19 07:30:10 GMT 2024","Sat Oct 19 07:30:21 GMT 2024","11522","","ITAuthTestSuite","","","","TestUsecaseSignIn",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","AddAnottationType",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","5","","AnnotattionServiceSuite","","","","GetAnottationByIDClassic",""
"passed","Sat Oct 19 07:30:00 GMT 2024","Sat Oct 19 07:30:00 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","GetDocumentByID",""
