"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","GetDocumentsByCreatorID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","DocumentServiceSuite","","","","LoadDocument",""
"passed","Tue Oct 22 18:57:35 GMT 2024","Tue Oct 22 18:57:35 GMT 2024","4","","AnnotattionServiceSuite","","","","DeleteAnotattionClassic",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","AnnotattionServiceSuite","","","","CheckPngFile",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","UserRepoSuite","","","","Create user with error",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","AuthServiceSuite","","","","SignIn",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","UserRepoSuite","","","","GetAllUsers",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","DocumentServiceSuite","","","","LoadDocument",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotattionServiceSuite","","","","GetAnottationByIDClassic",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","AddDocument",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","DeleteAnotattionType",""
"passed","Tue Oct 22 18:57:57 GMT 2024","Tue Oct 22 18:58:08 GMT 2024","10881","","E2ESuite","","","","Test_E2ELoadingDocument",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAllAnotattionTypesClassic",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentsByCreatorID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","AddAnotattionTypeClassic",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnottationTypesByIDs",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","DeleteDocumentByID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","0","","DocumentRepoSuite","","","","DeleteReportByID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnottationsByUserID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByIDClassic",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","0","","AnnotattionServiceSuite","","","","areBBsValid",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotattionServiceSuite","","","","GetAnottationByUserID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","0","","DocumentRepoSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 18:57:35 GMT 2024","Tue Oct 22 18:57:35 GMT 2024","3","","AnnotattionServiceSuite","","","","GetAllAnotattions",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","Get all annotation types with err",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","AuthServiceSuite","","","","Auth",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","0","","DocumentRepoSuite","","","","AddReport",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 18:57:35 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","6","","AnnotattionServiceSuite","","","","AddAnnotationClassic",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","4","","AnnotationTypeRepositorySuite","","","","AddAnottationType",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","UserRepoSuite","","","","Get user by ID with error",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","0","","AnnotattionTypeServiceSuite","","","","AddAnotattionType",""
"passed","Tue Oct 22 18:57:35 GMT 2024","Tue Oct 22 18:57:35 GMT 2024","3","","AnnotattionServiceSuite","","","","AddAnnotation",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","AuthServiceSuite","","","","Auth",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","2","","AuthServiceSuite","","","","SignIn",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionType",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","AnnotattionServiceSuite","","","","GetAnottationByID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","0","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","UserRepoSuite","","","","UpdateUserByLogin",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionTypeClassic",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","0","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnnotationTypeByID",""
"passed","Tue Oct 22 18:57:36 GMT 2024","Tue Oct 22 18:57:36 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","GetDocumentByID",""
