"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","4","","AnnotattionServiceSuite","","","","GetAnottationByIDClassic",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","0","","DocumentRepoSuite","","","","DeleteReportByID",""
"passed","Fri Oct 18 21:29:59 GMT 2024","Fri Oct 18 21:30:01 GMT 2024","1461","","MarkupTestSuite","","","","TestUsecaseGetMarkUp",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionTypeClassic",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","0","","DocumentRepoSuite","","","","AddReport",""
"passed","Fri Oct 18 21:29:55 GMT 2024","Fri Oct 18 21:29:56 GMT 2024","1413","","MarkupTypeTestSuite","","","","TestUsecaseGetMarkUpType",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","GetAnottationTypesByUserID",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","AnnotattionServiceSuite","","","","DeleteAnotattionClassic",""
"passed","Fri Oct 18 21:29:52 GMT 2024","Fri Oct 18 21:29:54 GMT 2024","1421","","MarkupTypeTestSuite","","","","TestUsecaseAddMarkUpType",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","UserRepoSuite","","","","Get user by ID with error",""
"passed","Fri Oct 18 21:29:54 GMT 2024","Fri Oct 18 21:29:55 GMT 2024","1419","","MarkupTypeTestSuite","","","","TestUsecaseDeleteMarkUpType",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentsByCreatorID",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","0","","AnnotattionServiceSuite","","","","DeleteAnotattion",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","DeleteAnotattionType",""
"passed","Fri Oct 18 21:30:15 GMT 2024","Fri Oct 18 21:30:18 GMT 2024","3610","","E2ESuite","","","","Test_E2ELoadingDocument",""
"passed","Fri Oct 18 21:29:37 GMT 2024","Fri Oct 18 21:29:49 GMT 2024","11742","","ITAuthTestSuite","","","","TestUsecaseSignUp",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","GetDocumentsByCreatorID",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","GetAnottationTypesByIDs",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","3","","AnnotattionServiceSuite","","","","AddAnnotation",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","AuthServiceSuite","","","","Auth",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","1","","AnnotattionTypeServiceSuite","","","","AddAnotattionType",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","AddAnottationType",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","UserRepoSuite","","","","Create user with error",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","GetAllAnotattionTypesClassic",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","AddDocument",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByIDClassic",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","3","","AnnotattionServiceSuite","","","","GetAnottationByUserID",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","1","","UserRepoSuite","","","","GetAllUsers",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","1","","DocumentRepoSuite","","","","GetDocumentByID",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","1","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","3","","DocumentServiceSuite","","","","LoadDocument",""
"passed","Fri Oct 18 21:29:28 GMT 2024","Fri Oct 18 21:29:28 GMT 2024","0","","AnnotattionServiceSuite","","","","areBBsValid",""
